"","time","lst","best_bid","best_ask","best_bid_size","best_ask_size","total_bid_depth","total_ask_depth","volume"
"1",2017-11-08 02:38:58,809800,809672,809797,0.855,0.189,12986.96398661,9600.41136804,248192.88246721
"2",2017-11-08 02:38:59,809800,809672,809797,0.855,0.189,12987.18355503,9631.71136779,248192.45666721
"3",2017-11-08 02:39:00,809800,809672,809797,0.855,0.189,12987.16755503,9631.81137002,248191.40561721
"4",2017-11-08 02:39:01,809972,809972,810299,1.80549917,2.4000005,12988.67405532,9631.07596919,248191.14011804
"5",2017-11-08 02:39:02,809972,809973,810298,0.6,0.6596,12986.89305483,9629.69986918,248191.09011804
"6",2017-11-08 02:39:03,810297,809973,810297,1.2,0.11,12991.50305409,9628.97026918,248186.45904804
"7",2017-11-08 02:39:04,809973,809973,810234,0.80000074,0.0306,12982.09565385,9629.55306918,248179.76275526
"8",2017-11-08 02:39:05,810296,810297,810299,1.8694,2.1100005,12975.29905361,9629.55386943,248179.29335526
"9",2017-11-08 02:39:06,810297,810297,810300,0.8708,2,12984.44488617,9634.04387042,248174.8894577
"10",2017-11-08 02:39:07,810297,810297,810299,0.3308,0.28,12970.16885459,9616.63126819,248171.78575048
"11",2017-11-08 02:39:08,810296,810160,810296,0.01,0.24999926,12976.78205484,9631.28127067,248170.36455122
"12",2017-11-08 02:39:09,810293,810293,810296,0.59520096,0.24999926,12975.51715643,9639.33323106,248169.90935026
"13",2017-11-08 02:39:10,810160,810160,810298,0.00520096,0.00479904,12972.03115619,9638.88803084,248168.59957129
"14",2017-11-08 02:39:11,810160,810160,810298,0.00520096,0.00479904,12987.39635739,9641.87703035,248167.29364056
"15",2017-11-08 02:39:12,810160,810160,810298,0.00520096,0.00479904,12987.30285594,9637.41102813,248167.24257056
"16",2017-11-08 02:39:13,810160,810160,810298,0.00520096,0.00479904,12979.74285383,9641.79806843,248156.73936861
"17",2017-11-08 02:39:14,809979,809979,810298,3.42780194,0.5,12982.21228527,9642.27126899,248156.59486861
"18",2017-11-08 02:39:15,809979,809983,810000,0.005,5,12980.67252482,9647.89126899,248156.48774861
"19",2017-11-08 02:39:16,809979,809980,809999,0.28,0.6,12967.32592345,9635.37126651,248156.32606335
"20",2017-11-08 02:39:17,809811,809671,809998,0.08,0.4,12978.74322356,9638.08946701,248160.23531335
"21",2017-11-08 02:39:18,809601,809601,809910,5.02994028,0.07,12978.78235036,9635.99017638,248161.86514335
"22",2017-11-08 02:39:19,809910,809602,809811,0.5,0.2061,12997.48234889,9637.25437613,248161.56518335
"23",2017-11-08 02:39:20,809811,809780,809909,0.01,0.1423,12997.67445036,9650.85057615,248159.58578335
"24",2017-11-08 02:39:21,809780,809604,809908,0.5,0.43847714,12987.56444938,9655.34905403,248159.45348368
"25",2017-11-08 02:39:22,810405,810405,810450,3.44752431,0.02,13000.59397418,9624.36037661,248174.07375937
"26",2017-11-08 02:39:23,810405,810405,810450,0.88972193,0.019,12996.54728471,9635.43687735,248176.13256175
"27",2017-11-08 02:39:24,810405,810405,810450,0.88772193,0.019,13001.1732852,9637.6651677,248176.81156175
