"","time","lst","best_bid","best_ask","best_bid_size","best_ask_size","total_bid_depth","total_ask_depth","volume"
"1",2017-11-08 02:49:18,812432,812435,812641,0.0771,0.01,12769.97612124,9786.54467479,247389.46687487
"2",2017-11-08 02:49:19,812432,812436,812641,0.0587,0.01,12775.3477227,9784.96667504,247368.84218961
"3",2017-11-08 02:49:20,812500,812428,812784,0.598,1.2565,12761.97802099,9781.31317653,247375.22613961
"4",2017-11-08 02:49:21,812500,812429,812783,0.0986,0.5,12752.48762099,9786.41617629,247374.36323961
"5",2017-11-08 02:49:22,812500,812428,812782,0.598,1.2646,12750.85452099,9795.36177678,247374.25523961
"6",2017-11-08 02:49:23,812500,812428,812782,0.438,1.3846,12747.49046269,9794.25177678,247373.18853294
"7",2017-11-08 02:49:24,812500,812428,812781,0.438,1.002,12753.35346269,9795.32477678,247372.68150194
"8",2017-11-08 02:49:25,812500,812429,812780,0.378,1.4943,12754.92226367,9795.45927678,247371.45817961
"9",2017-11-08 02:49:26,812428,812428,812776,0.338,0.005,12765.18956318,9793.66200137,247371.91506334
"10",2017-11-08 02:49:27,812427,812428,812776,0.4,0.005,12775.98956367,9790.04570013,247371.10506334
"11",2017-11-08 02:49:28,812428,812428,812776,0.397,0.005,12771.46626441,9793.33240063,247367.83829667
"12",2017-11-08 02:49:29,812428,812428,812776,0.5,1,12777.68926514,9781.31740038,247368.33949667
"13",2017-11-08 02:49:30,812428,812428,812775,0.02,0.5,12777.28926514,9792.67340063,247368.81352633
"14",2017-11-08 02:49:31,812000,811989,812000,0.012808,12.70564651,12768.98491165,9804.77704534,247376.10682982
"15",2017-11-08 02:49:32,812000,811989,812000,0.012808,12.70564651,12760.15541116,9803.95180309,247376.09080016
"16",2017-11-08 02:49:33,812000,811989,812000,0.012808,12.70364651,12760.14541116,9803.41980309,247376.07670016
"17",2017-11-08 02:49:34,811980,811980,811981,9.43336221,1.3803,12759.34543614,9803.46480357,247378.18051699
"18",2017-11-08 02:49:35,811981,811980,811981,8.42136221,1.1003,12757.53243614,9807.75680456,247354.37251699
"19",2017-11-08 02:49:36,811980,811981,811999,0.41,0.44110646,12683.59213589,9806.96094978,247353.14405101
"20",2017-11-08 02:49:37,811995,811981,811995,2.81000073,0.00320004,12688.41213662,9803.24414908,247307.32604909
"21",2017-11-08 02:49:38,811999,811981,811999,2.40000073,0.0923065,12680.74413589,9803.97315065,247307.51604909
"22",2017-11-08 02:49:39,811981,811981,811999,1.91900073,0.0923065,12683.88313515,9811.5071514,247308.03344909
"23",2017-11-08 02:49:40,811981,811981,812000,1.63900073,12.19595301,12684.79957265,9819.2991514,247304.87735417
