"","time","lst","best_bid","best_ask","best_bid_size","best_ask_size","total_bid_depth","total_ask_depth","volume"
"1",2017-11-08 02:17:59,808505,808506,808527,0.55,0.01,13130.30172323,9626.93191101,252335.80597689
"2",2017-11-08 02:18:00,808527,808505,808527,0.7417984,0.00520086,13129.15672398,9609.22401027,252334.99277603
"3",2017-11-08 02:18:01,808500,808500,808507,0.7477984,1,13128.18672398,9615.74461126,252335.89178612
"4",2017-11-08 02:18:02,808492,808492,808684,0.2377984,0.01194419,13126.77672398,9614.49455545,252339.87878612
"5",2017-11-08 02:18:03,808689,808141,808592,0.3317984,0.39,13094.27672497,9612.05455545,252334.28878612
"6",2017-11-08 02:18:04,808689,808143,808592,0.99,0.39,13091.27402422,9612.97115545,252320.95950394
"7",2017-11-08 02:18:05,808689,808143,808527,2.4106,10,13091.24412422,9633.40535745,252319.74850394
"8",2017-11-08 02:18:06,808144,808144,808489,0.97213985,0.5,13092.22626407,9633.82205745,252314.12436409
"9",2017-11-08 02:18:07,808489,808144,808527,1.88393985,10,13086.64136417,9632.08125745,252314.60836409
"10",2017-11-08 02:18:08,808489,808142,808527,1.5558,10,13080.85522383,9631.92225745,252298.99701681
"11",2017-11-08 02:18:09,808527,808145,808527,0.6,9.95,13086.26042457,9639.3582567,252287.75801681
"12",2017-11-08 02:18:10,808527,808213,808527,0.0135,9.95,13091.20492457,9635.1812567,252285.75801681
"13",2017-11-08 02:18:11,808527,808250,808526,0.4,0.0714,13059.49302457,9641.70725671,252283.11401681
"14",2017-11-08 02:18:12,808527,808415,808526,0.05,0.0714,13086.40052457,9658.39655696,252281.74461681
"15",2017-11-08 02:18:13,808527,808415,808500,0.05,0.3,13072.95292359,9659.81215671,252281.74361681
"16",2017-11-08 02:18:14,808000,808000,808500,2.67957408,0.3,13082.13062383,9669.26515709,252273.37361681
"17",2017-11-08 02:18:15,808415,808001,808415,1.8145,0.04520096,13088.79042383,9655.79415805,252272.16741585
"18",2017-11-08 02:18:16,807990,807872,807990,0.03,0.44832592,13093.97224924,9651.74058208,252280.86180706
"19",2017-11-08 02:18:17,807990,808251,808450,0.15167408,0.02,13094.14692332,9642.33545541,252281.21013298
"20",2017-11-08 02:18:18,808500,808100,808500,0.05,0.123,13081.99842351,9639.50445616,252282.21013298
"21",2017-11-08 02:18:19,808526,808526,808527,2.47537501,9.95,13100.36089901,9639.10085808,252279.82295911
"22",2017-11-08 02:18:20,808526,808526,808527,0.24847501,7.84,13101.88929827,9636.77035808,252282.15585911
"23",2017-11-08 02:18:21,807719,807719,808800,6.84515081,5.84607674,13081.08627472,9624.06835907,252289.37275797
"24",2017-11-08 02:18:22,807977,808526,808600,0.07,0.006,13084.47527496,9627.58758528,252263.93515772
"25",2017-11-08 02:18:23,807719,807720,808600,1.4442,0.006,13084.49097384,9622.55058478,252258.63315723
"26",2017-11-08 02:18:24,808638,807719,808638,4.93964968,0.854,13086.04677384,9626.80058528,252256.7329735
"27",2017-11-08 02:18:25,808527,808000,808522,0.02,0.03767408,13088.61077507,9626.45615936,252257.58129942
"28",2017-11-08 02:18:26,808522,808000,808522,0.02,0.03567408,13111.64591236,9627.57715936,252250.02761425
"29",2017-11-08 02:18:27,808522,808000,808522,0.02,0.03567408,13108.52446218,9628.17715788,252235.78761425
"30",2017-11-08 02:18:28,807936,807936,808450,1.2465,0.02,13108.85246293,9628.44715788,252234.97461425
"31",2017-11-08 02:18:29,807936,807936,808450,1.2465,0.02,13099.56346209,9640.85715788,252233.92461425
"32",2017-11-08 02:18:30,807936,807936,808450,1.2465,0.02,13091.61346135,9640.81515788,252208.47461425
"33",2017-11-08 02:18:31,807936,807936,808450,1.2465,0.02,13094.01346184,9640.85315812,252203.45808454
"34",2017-11-08 02:18:32,808450,808450,808522,2.98399888,1.03567408,13096.98756072,9639.19183021,252185.15908392
"35",2017-11-08 02:18:33,808522,808450,808522,2.98399888,2.03387482,13103.78756096,9638.97835687,252160.32908382
"36",2017-11-08 02:18:34,808450,808450,808522,2.97729888,2.03387482,13099.74105997,9636.97315612,252109.61756186
"37",2017-11-08 02:18:35,808450,808450,808520,1.92729888,0.023,13096.27105948,9637.62415687,252103.02650521
"38",2017-11-08 02:18:36,808450,808450,808520,1.92729888,0.023,13096.00215948,9639.40175712,252089.9181078
"39",2017-11-08 02:18:37,808450,808450,808520,0.92729888,0.023,13098.97315948,9639.4944823,252085.36326546
"40",2017-11-08 02:18:38,808521,808450,808521,0.92729888,0.1854,13098.97315948,9636.64115205,252078.84348845
"41",2017-11-08 02:18:39,808521,808450,808500,0.92729888,0.01195309,13088.06215948,9636.07810514,252074.78707432
"42",2017-11-08 02:18:40,808521,808450,808500,0.92729888,0.01195309,13114.2021618,9636.07910544,252069.02325233
"43",2017-11-08 02:18:41,808521,808450,808500,0.92729888,0.01195309,13120.82116401,9636.86870544,252066.52325233
"44",2017-11-08 02:18:42,808450,808450,808500,0.91729888,0.01195309,13124.81216401,9637.72280544,252058.05378581
"45",2017-11-08 02:18:43,808450,808450,808500,0.91729888,0.01195309,13113.98916228,9640.12280594,252057.95378581
"46",2017-11-08 02:18:44,808450,808450,808500,0.91579971,0.01195309,13123.3876641,9639.89870594,252055.68528498
"47",2017-11-08 02:18:45,808450,808450,808500,0.91579971,0.01195309,13115.58766386,9640.91050594,252044.22095632
"48",2017-11-08 02:18:46,808450,808450,808500,0.91579971,0.01195309,13106.61356337,9639.69570594,252042.22095632
"49",2017-11-08 02:18:47,808450,808450,808500,0.91579971,0.01195309,13110.82756411,9642.30740768,252041.06007506
"50",2017-11-08 02:18:48,808450,808450,808500,0.91579971,0.01195309,13115.25966337,9639.66570718,252031.32315705
"51",2017-11-08 02:18:49,808450,808450,808500,0.91579971,0.01195309,13101.45656262,9639.66570718,252017.31585308
"52",2017-11-08 02:18:50,808450,808450,808500,0.91579971,0.02390618,13115.06056361,9647.35336027,252015.00085308
"53",2017-11-08 02:18:56,808498,808450,808495,0.74889971,0.01195309,13109.88596287,9646.30511336,251986.20056895
"54",2017-11-08 02:18:57,808498,808450,808495,0.74889971,0.01195309,13108.52136386,9644.62511336,251985.56716895
"55",2017-11-08 02:18:58,808498,808450,808495,0.74889971,0.01195309,13115.07896386,9644.68631336,251985.56716895
"56",2017-11-08 02:18:59,808450,808450,808495,0.64739971,0.01195309,13105.37746337,9639.82511286,251973.56866895
"57",2017-11-08 02:19:00,808450,808450,808495,0.59669971,0.01195309,13114.92676411,9642.22511162,251973.61936895
"58",2017-11-08 02:19:01,808450,808450,808495,0.59169971,0.01195309,13107.27976139,9634.77511237,251971.17076895
"59",2017-11-08 02:19:02,808450,808450,808495,0.44129971,0.01195309,13115.12936361,9643.17511435,251961.72117039
"60",2017-11-08 02:19:03,808450,808450,808494,0.43930083,0.0727,13107.11936503,9644.4478146,251961.72117039
"61",2017-11-08 02:19:04,808450,808450,808495,0.29657083,0.01195309,13115.53463528,9644.4441146,251932.53249775
"62",2017-11-08 02:19:05,808450,808450,808495,0.29657083,0.01195309,13115.36763528,9641.41711286,251932.17249775
