"","time","lst","best_bid","best_ask","best_bid_size","best_ask_size","total_bid_depth","total_ask_depth","volume"
"1",2017-11-08 00:05:54,809405,809405,809698,0.6,0.2974,12797.60515005,9783.06300353,253982.20715747
"2",2017-11-08 00:05:55,809402,809402,809698,0.38819715,0.2974,12807.69044566,9784.07430353,253962.14215772
"3",2017-11-08 00:05:56,809404,809405,809700,0.04820114,5.90859893,12809.73384783,9777.33310887,253960.1419577
"4",2017-11-08 00:05:57,809402,809402,809697,0.71799674,0.1676,12810.03544628,9778.03770887,253959.8419577
"5",2017-11-08 00:05:58,809700,809402,809700,0.71799674,3.94379893,12807.97244554,9770.60530862,253958.7212577
"6",2017-11-08 00:05:59,809403,809403,809698,1.9989,0.27020041,12827.44734856,9769.87550903,253957.00788533
"7",2017-11-08 00:06:00,809000,809011,809698,1.9994,0.27020041,12816.96874856,9805.52463049,253968.78770249
"8",2017-11-08 00:06:01,809000,809000,809699,1.39819688,5.80332112,12813.12974782,9804.47198473,253972.67432649
"9",2017-11-08 00:06:02,808120,809400,809698,0.4,3.00000124,12795.47974807,9805.58130735,253985.27522649
"10",2017-11-08 00:06:03,808120,808120,808850,1.58081983,0.02,12784.46045097,9807.58320899,254010.24772529
"11",2017-11-08 00:06:04,808799,808799,809609,0.17429426,0.20354864,12773.1954254,9801.56539444,254019.60372529
"12",2017-11-08 00:06:05,807600,808001,808689,4.46650147,0.32570574,12765.52464161,9814.89110093,254031.68121955
"13",2017-11-08 00:06:06,809403,808450,809020,8.18,8.72670574,12786.33296129,9816.00863931,254040.6619213
"14",2017-11-08 00:06:07,808450,808450,808800,4.70916264,3,12781.43278239,9806.55626714,254026.06275866
"15",2017-11-08 00:06:08,808450,808450,808799,4.67116222,1.2500005,12803.08662279,9818.63119749,254026.15513968
"16",2017-11-08 00:06:09,808450,808450,808700,3.97116222,2.989,12836.97465503,9813.26117489,254024.78923968
"17",2017-11-08 00:06:10,809019,809011,809019,3.5839985,4.79900099,12836.25345106,9812.15349751,254031.84583981
"18",2017-11-08 00:06:11,808679,808500,808679,0.3,1.03540216,12896.49965452,9810.52259896,254035.60103694
"19",2017-11-08 00:06:13,808150,808150,808678,17.72946222,0.59520086,12888.67365453,9817.4598993,254041.55230574
"20",2017-11-08 00:06:14,808451,808451,808678,1.6206,0.58520086,12896.7564542,9805.41777525,254040.13108829
"21",2017-11-08 00:06:15,807600,808200,808350,6.02,0.002,12944.47942195,9814.28519716,254065.14888935
"22",2017-11-08 00:06:16,808200,808200,808600,5.508,0.095,12958.59915248,9810.70768198,254065.10388935
"23",2017-11-08 00:06:17,808201,808201,808484,6.1824,0.07200099,12946.19455103,9809.75157237,254086.13918935
"24",2017-11-08 00:06:18,807660,807660,808484,5.16379914,0.05399987,12891.73624993,9800.3185715,254103.54918935
"25",2017-11-08 00:06:19,808202,808211,808300,0.001,4.7,12878.72465017,9809.89846638,254103.84668935
"26",2017-11-08 00:06:20,808300,808211,808299,0.001,8.20000025,12883.70034912,9833.68526552,254106.85668935
"27",2017-11-08 00:06:21,808299,808221,808298,0.001,0.4,12910.73455006,9833.68326552,254103.86848841
"28",2017-11-08 00:06:22,808044,808045,808200,0.3,5,12931.68044974,9838.77326477,254104.14968849
"29",2017-11-08 00:06:24,808200,808044,808122,0.0338,0.101,12926.0204495,9827.40016516,254109.14490797
"30",2017-11-08 00:06:26,808193,808044,808193,0.0338,6.99,12966.0542519,9813.67106539,254110.02490797
"31",2017-11-08 00:06:27,808193,808140,808192,0.1,0.60000099,12989.9731519,9794.27106638,254110.02490797
"32",2017-11-08 00:06:28,808044,808044,808192,2.09461983,0.60000099,12966.02797222,9799.92206589,254118.91608814
"33",2017-11-08 00:06:29,808193,808044,808193,2.09461983,2.58000099,12945.81197147,9795.03606589,254123.23478814
"34",2017-11-08 00:06:30,808197,808197,808200,2.45,4.41979964,12951.87019089,9801.98006565,254123.14578814
"35",2017-11-08 00:06:31,808197,808197,808199,2.44820084,7,12934.24459227,9809.49576603,254116.66670626
"36",2017-11-08 00:06:33,808199,808198,808199,0.6,6.552,12952.50059012,9807.37056589,254114.32770725
"37",2017-11-08 00:06:34,808199,808198,808199,0.38,5.55,12956.46458987,9801.54924376,254115.54970725
"38",2017-11-08 00:06:35,808199,808100,808203,0.41,0.1,12943.6103694,9778.10856639,254116.92490781
"39",2017-11-08 00:06:36,808044,808200,808299,1.2,7.14,12945.2510694,9844.41676689,254118.31440781
"40",2017-11-08 00:06:37,809080,808200,809080,12.2,5.72982,12962.34107038,9829.04744302,254123.96440781
"41",2017-11-08 00:06:38,808568,808340,808568,0.1,0.0958,12967.01743511,9829.30169752,254122.89403232
"42",2017-11-08 00:06:39,808310,808201,808308,0.1,0.09000322,12929.43378408,9829.37571998,254110.99512617
"43",2017-11-08 00:06:40,808201,808200,808308,10.97776473,0.09000322,12926.93478429,9838.8928971,254101.00412617
"44",2017-11-08 00:06:42,808307,808201,808307,0.05,0.1828,12937.92878656,9864.22670426,254089.3605285
"45",2017-11-08 00:06:43,808340,808200,808340,6.72298673,0.51212385,12916.87000807,9866.98120068,254089.59680587
"46",2017-11-08 00:06:44,808340,808200,808306,6.72298673,7,12922.53000856,9875.03719771,254089.59680587
"47",2017-11-08 00:06:45,808899,808270,808899,3,1.72412187,12913.43100758,9877.66419796,254100.29980587
"48",2017-11-08 00:06:46,808900,808201,808898,0.6,1.2,12909.32220771,9877.54419871,254104.56110587
"49",2017-11-08 00:06:47,807662,808218,808450,0.11,0.02,12915.34920944,9881.02758251,254116.25110587
"50",2017-11-08 00:06:48,808370,808202,808370,2,0.57000297,12915.42807808,9893.65167647,254116.09790579
"51",2017-11-08 00:06:49,808370,808271,808370,0.5427,0.56000297,12911.90077709,9873.90237647,254115.5451526
"52",2017-11-08 00:06:50,807662,808000,808369,0.02,0.6,12912.40335816,9871.22905383,254120.54335334
"53",2017-11-08 00:06:51,807662,808000,808369,0.02,7.6,12909.87935797,9806.63865654,254120.11155408
"54",2017-11-08 00:06:52,807700,807763,807999,0.11,7,12931.94135994,9816.52065654,254119.33155408
"55",2017-11-08 00:06:53,807999,807762,807999,10,6.98,12928.93335846,9802.14834964,254117.35155408
"56",2017-11-08 00:06:54,808000,808000,808270,19.02,0.20932288,12952.0933587,9793.47434964,254123.85815278
"57",2017-11-08 00:06:55,808000,808001,808270,2,0.20932288,12949.18365598,9806.71735361,254124.49815575
"58",2017-11-08 00:06:56,808260,808002,808260,0.24,0.09,12949.51945598,9820.28566106,254124.18245619
"59",2017-11-08 00:06:57,808260,808005,808260,3,0.09,12962.34945647,9807.40498072,254124.13245619
"60",2017-11-08 00:06:58,808200,808005,808202,3,0.00179906,12980.70945573,9852.19715515,254121.33745619
"61",2017-11-08 00:06:59,808270,808006,808271,9,6,13008.84656237,9854.34602899,254121.73445619
"62",2017-11-08 00:07:00,808007,808007,808270,2.78,1.44,12999.00646187,9837.14125137,254121.75445789
"63",2017-11-08 00:07:01,808007,808007,808270,2.78,1.44,12999.43846187,9837.14125137,254121.75445789
"64",2017-11-08 00:07:02,808271,808164,808271,0.005,1.2,13003.14765287,9832.58125212,254126.77945619
"65",2017-11-08 00:07:03,808016,808016,808238,2.505,0.11,12994.17015238,9833.42192701,254127.27275692
"66",2017-11-08 00:07:04,808369,808271,808369,2,2.71,12974.81765164,9833.25304845,254124.27095766
"67",2017-11-08 00:07:05,808599,808503,808599,0.8,0.43700075,13001.75633911,9841.82304994,254123.74685766
"68",2017-11-08 00:07:06,808002,808000,808002,17.85999703,6.6674256,12958.20376471,9851.47647554,254167.07943206
"69",2017-11-08 00:07:08,808002,808000,808002,12.53999703,3.9303256,12947.1957655,9852.10417602,254169.62233206
"70",2017-11-08 00:07:09,808001,808000,808001,11.24859703,0.6417,12951.16136599,9852.09307676,254157.53895134
"71",2017-11-08 00:07:10,808002,808016,808160,13.6737744,0.00199968,12968.27664014,9848.40685017,254160.87517694
"72",2017-11-08 00:07:12,808270,808021,808270,0.005,0.99919968,12961.80213941,9858.22045156,254162.81167694
"73",2017-11-08 00:07:13,808270,808017,808270,6.905,0.1178,12958.22214016,9861.39825106,254160.83387694
"74",2017-11-08 00:07:14,808017,808016,808270,11.7737744,1,12947.33514016,9853.78045082,254160.84967694
"75",2017-11-08 00:07:17,808017,808018,808255,0.24250032,1.0857,12970.1182388,9956.96795992,254153.60507939
"76",2017-11-08 00:07:18,808017,808046,808255,20,1.0857,12994.16693925,10004.36078366,254128.6854266
"77",2017-11-08 00:07:19,808226,808161,808254,0.01,0.46,12995.38294054,9887.88538366,254129.7854266
"78",2017-11-08 00:07:21,808016,808016,808255,3.08497486,0.0757,12967.52564002,9889.8665839,254156.48722606
"79",2017-11-08 00:07:23,808016,808016,808255,2.22767486,0.0757,12974.16644027,9847.14198141,254157.43222606
"80",2017-11-08 00:07:24,808268,808016,808267,2.22767486,0.22,12974.46644027,9850.86068141,254154.95222558
"81",2017-11-08 00:07:25,808270,808016,808266,2.22767486,1.1148,12974.46644027,9859.1347824,254152.84222558
"82",2017-11-08 00:07:27,808000,807575,808000,18.23000123,45.35352811,12952.85316717,9913.11618757,254175.39869775
"83",2017-11-08 00:07:28,807575,807575,807764,17.63300123,7,12954.87316941,9919.76601037,254169.60007828
"84",2017-11-08 00:07:29,807575,807575,807764,0.27300123,8.5965,12944.11316941,9925.05213375,254185.32567828
"85",2017-11-08 00:07:31,807000,807181,807500,0.60000049,5.12499828,12868.00016828,9928.36963278,254246.50928036
"86",2017-11-08 00:07:32,806690,806690,807131,18.34163961,1.39999951,12856.88016779,9931.72963179,254256.57928085
"87",2017-11-08 00:07:33,807131,806690,807131,18.03164059,0.60717951,12856.59016877,9931.17851056,254264.87610085
"88",2017-11-08 00:07:34,806700,806700,807131,4.913,0.60717951,12860.08727025,9936.78351082,254281.35361138
"89",2017-11-08 00:07:35,807131,806700,806890,4.903,0.002,12866.39067074,9917.3586897,254281.92521138
"90",2017-11-08 00:07:36,807130,806940,807126,0.01,0.005,12878.10466887,9902.90406682,254284.1688117
"91",2017-11-08 00:07:37,806820,806820,806889,9.7,7,12913.45686988,9908.33728364,254285.70731271
"92",2017-11-08 00:07:38,806890,806821,807127,0.14,0.28,12907.20787116,9899.17302483,254288.55931271
"93",2017-11-08 00:07:39,806890,807103,807127,7,0.28,12917.26187116,9889.57302408,254288.55931271
"94",2017-11-08 00:07:40,807199,807103,807199,5.7179,0.13232288,12929.82177116,9885.1603263,254289.76192324
"95",2017-11-08 00:07:41,807499,807113,807499,1.98,0.77592413,12946.0217714,9879.81092605,254300.98192324
"96",2017-11-08 00:07:43,807200,807200,807650,14.94,0.02,12970.17647164,9906.10880197,254291.17902374
"97",2017-11-08 00:07:45,807694,807201,807694,0.24,0.841,12990.95635739,9913.80410154,254284.16432758
"98",2017-11-08 00:07:46,807693,807300,807693,5.68020036,0.2865,13008.19355676,9920.13460154,254284.25432758
"99",2017-11-08 00:07:47,807300,807301,807693,0.14,1.0865,12983.77285562,9900.26756057,254287.79032808
"100",2017-11-08 00:07:48,807695,807300,807695,1.08019986,12.1865,12960.67075417,9889.49506057,254291.81182805
"101",2017-11-08 00:07:51,807355,807355,807644,0.40718,0.11,12961.10585315,9855.34756207,254314.3833488
"102",2017-11-08 00:07:53,808000,808000,808050,13.42871617,0.02,12937.09556907,9841.87441299,254389.82874338
"103",2017-11-08 00:07:54,808000,808000,808271,13.66531617,0.40000075,12930.87216858,9843.98841374,254393.79694238
"104",2017-11-08 00:07:55,808000,808000,808272,7.05531467,1.621,12894.27716782,9845.58841299,254402.52724469
"105",2017-11-08 00:07:56,808000,808000,808592,6.44531442,1.7422,12893.29559612,9839.49761299,254408.27824494
"106",2017-11-08 00:07:57,808270,808270,808271,18.23009925,2.80000025,12922.30037946,9841.89261374,254422.9583216
"107",2017-11-08 00:07:59,808270,808270,808271,5.12408,7.0000005,12978.90389217,9876.15069399,254442.02618297
"108",2017-11-08 00:08:00,808270,808270,808350,11.59908172,11.6,12990.11632266,9872.26272143,254432.68118125
"109",2017-11-08 00:08:01,808270,808011,808270,0.60000049,8.08221835,12996.29591956,9891.27922276,254450.24148371
"110",2017-11-08 00:08:02,808270,808011,808270,0.60000049,7.58221835,12996.29591956,9890.77922276,254448.74148371
"111",2017-11-08 00:08:03,808270,808011,808270,0.06000049,5.58401731,12974.23992061,9891.28602172,254449.42148371
"112",2017-11-08 00:08:05,807999,807600,807989,0.02,2,12945.02947212,9940.24790701,254455.8603882
"113",2017-11-08 00:08:07,807651,807651,807989,6.95,2,12948.06710657,9914.81977733,254454.9213882
"114",2017-11-08 00:08:08,807989,807652,807995,2.25000173,1.2,12940.64050478,9881.77701269,254456.7763882
"115",2017-11-08 00:08:09,807983,807652,807983,3.60000098,0.9422,12954.95510567,9882.71921071,254450.6663882
"116",2017-11-08 00:08:10,807530,807662,807975,2,0.549,12955.17584221,9841.65337109,254453.1363882
"117",2017-11-08 00:08:11,807975,807719,807975,0.0011,0.364,12956.22034221,9855.59337184,254451.3003882
"118",2017-11-08 00:08:12,807662,807663,807975,7.5459,0.364,12967.47964049,9854.30337457,254451.3903882
"119",2017-11-08 00:08:13,807982,807663,807982,7.5459,2.368,12967.49964049,9854.40337457,254451.88038721
"120",2017-11-08 00:08:14,807982,807664,807982,0.4179,0.08,12964.57164099,9852.21537556,254450.39638721
"121",2017-11-08 00:08:16,807800,807910,807996,0.1,18.93419589,12977.78418174,9851.22836827,254479.47758721
"122",2017-11-08 00:08:17,807996,807800,807996,0.2,10.83419589,12975.26872188,9854.90134136,254489.59758721
"123",2017-11-08 00:08:19,807665,807666,807988,0.6,2,12963.08464169,9854.12384224,254497.4447878
"124",2017-11-08 00:08:20,807988,807667,807988,4.17237215,1.96,12953.13401384,9858.88384299,254498.3737878
"125",2017-11-08 00:08:21,807996,807910,807996,0.1,10.31339755,12953.48183447,9852.80304366,254503.17458614
"126",2017-11-08 00:08:23,807996,807975,807996,0.00179956,5.31339755,12963.76496288,9851.34192333,254507.37458614
"127",2017-11-08 00:08:24,807996,807996,808270,0.46910245,0.00479914,12963.75116533,9846.02852578,254512.68798369
"128",2017-11-08 00:08:25,807996,807996,808339,0.39910245,6.30480312,12979.52329412,9833.62352528,254516.66458369
"129",2017-11-08 00:08:26,808339,807996,808339,6,5.91610199,12982.53382073,9761.30512613,254512.10748369
"130",2017-11-08 00:08:27,808339,807997,808000,0.342,0.3,12988.05391947,9736.74012539,254511.10648369
"131",2017-11-08 00:08:29,808020,807999,808299,0.6,1.6579,12989.35129283,9741.14205112,254513.1924737
"132",2017-11-08 00:08:31,808340,808340,808443,45.9981,2.30000298,13042.22043495,9736.05015112,254518.2643737
"133",2017-11-08 00:08:32,808340,808340,808443,45.68360145,2.28900298,13046.80369491,9726.42515013,254518.96466464
"134",2017-11-08 00:08:33,809130,808450,808807,11.68419708,1.20000075,13055.512312,9703.8051484,254552.40417721
"135",2017-11-08 00:08:34,808807,808450,808807,11.65419708,0.47800099,13045.65697351,9703.28345505,254547.11117721
"136",2017-11-08 00:08:35,809333,808566,809333,0.497,16.46228945,13047.54510209,9683.27345505,254567.36517721
"137",2017-11-08 00:08:36,809333,808566,808852,0.297,0.1,13030.87380209,9683.2946558,254578.17627721
"138",2017-11-08 00:08:37,808340,808271,808340,1.5,1.89530651,12971.85044385,9692.9898408,254639.25253386
"139",2017-11-08 00:08:38,808852,808452,808852,2.31106564,0.067,12965.56150875,9705.62609389,254640.81484037
"140",2017-11-08 00:08:39,808850,808807,808900,0.9532,8.954,12978.87751198,9704.55980603,254640.8759669
"141",2017-11-08 00:08:40,808807,808807,808851,0.5542,6.6,12966.6484461,9739.47280703,254642.3152828
"142",2017-11-08 00:08:42,808567,808568,808851,0.03,0.455,12978.98524777,9742.01011589,254647.34631455
"143",2017-11-08 00:08:43,808851,808851,808899,0.0031,0.21775812,12986.49561357,9748.07111614,254647.54425121
"144",2017-11-08 00:08:44,808568,808800,808900,0.02,9.923,12984.89937917,9773.2566164,254649.53425121
"145",2017-11-08 00:08:46,808807,808800,808807,0.02,0.032,12982.66507913,9780.19561665,254649.86575121
"146",2017-11-08 00:08:47,808900,808569,808900,0.2661,6.013,12977.92407738,9772.54159167,254655.42095121
"147",2017-11-08 00:08:48,808800,808728,808800,0.001,11.738,12981.76174658,9788.23362686,254659.08525121
"148",2017-11-08 00:08:50,808800,808572,808798,0.2879,0.6,13043.285429,9777.85286949,254670.44825121
"149",2017-11-08 00:08:52,808800,808573,808727,0.60000024,0.14,13044.39752777,9768.50562511,254670.44825121
"150",2017-11-08 00:08:53,808068,808068,808728,1.8068,1,13035.10432753,9772.37572661,254672.44825121
"151",2017-11-08 00:08:54,808068,808402,808727,0.0984,0.34,12998.25494496,9775.54412686,254673.2270752
"152",2017-11-08 00:08:55,808068,808070,808727,0.19,0.6,12998.15654496,9763.9026276,254671.2070752
"153",2017-11-08 00:08:56,808069,808069,808726,8.59390049,1.976,12997.75144644,9770.1726276,254672.23557603
"154",2017-11-08 00:08:58,808725,808189,808571,4.35000147,0.00149897,13015.40854639,9766.96002432,254667.10377481
"155",2017-11-08 00:08:59,808724,808189,808724,13.95000221,0.92925709,13027.81954713,9764.52912556,254666.67377481
"156",2017-11-08 00:09:00,808189,808405,808723,0.01,0.38,13016.02854811,9758.18002432,254669.67288867
"157",2017-11-08 00:09:01,808725,808405,808723,0.01,2,13015.42730525,9745.82002283,254679.96096867
"158",2017-11-08 00:08:58,808210,808210,808723,4.51,0.22,13020.34937031,9718.84202532,254679.90475832
"159",2017-11-08 00:08:59,808210,808210,808722,4.51,0.09,13018.34937031,9708.32186427,254679.89096867
"160",2017-11-08 00:09:00,809000,808406,808685,7,1,13045.41325041,9710.25786602,254689.78896867
"161",2017-11-08 00:09:01,808415,808415,809000,0.6,8.14399928,13041.85389229,9712.81786651,254691.26976867
"162",2017-11-08 00:09:03,809000,808500,809000,1,11.14399928,13054.93378485,9715.03876602,254689.17506867
"163",2017-11-08 00:09:04,809000,808501,808900,1.80000147,4,13018.2624045,9707.69866551,254685.88006867
"164",2017-11-08 00:09:05,808500,808568,808780,1,5,12995.54370279,9723.20826527,254685.91406867
"165",2017-11-08 00:09:06,808780,808599,808900,0.6,4,13020.83670279,9719.10826602,254690.23282674
"166",2017-11-08 00:09:07,808900,808800,808900,0.3,1,13030.2232249,9716.30926632,254693.12282674
"167",2017-11-08 00:09:08,808900,808800,808900,0.3,1.18,13030.84766607,9714.31883289,254693.94798089
"168",2017-11-08 00:09:09,808900,808800,808900,0.3,1.18,13030.74766607,9641.25883239,254694.43798089
"169",2017-11-08 00:09:11,809333,808801,809333,7.5583,3.4182079,12999.89931902,9627.54706812,254719.19960012
"170",2017-11-08 00:09:12,809333,808801,809333,7.5583,3.4182079,12964.43991755,9628.54706812,254718.2995994
"171",2017-11-08 00:09:13,809333,809000,809333,1,3.3962079,12962.63250028,9630.21506812,254716.3535994
"172",2017-11-08 00:09:14,809272,809001,809272,7.6,0.989,12975.17238623,9622.23606662,254716.0725994
"173",2017-11-08 00:09:15,809001,809001,809333,7.49850023,2.5852079,12965.15116385,9632.08006837,254717.58409917
"174",2017-11-08 00:09:16,809472,809272,809472,0.5368,38.7742079,12965.9115646,9615.32796837,254731.97509917
"175",2017-11-08 00:09:17,809471,809002,809471,0.6,1.989,12954.68476436,9603.04396837,254758.92312503
"176",2017-11-08 00:09:19,809600,809580,809600,0.2887921,0.96,12969.15995696,9582.27376319,254785.59012712
"177",2017-11-08 00:09:20,809699,809472,809700,1.0781921,5,12961.90195696,9589.67376096,254792.14062717
"178",2017-11-08 00:09:21,809700,809580,809700,5,3.94190025,12949.5797651,9596.81566245,254798.32422697
"179",2017-11-08 00:09:22,809600,809600,809699,0.4175,0.8,12970.44526569,9593.70766245,254807.68287868
"180",2017-11-08 00:09:23,809699,809601,809699,0.03,0.789,12976.74226567,9608.40006121,254807.30019868
"181",2017-11-08 00:09:24,809700,809700,809709,0.69759975,0.3,12951.44086497,9623.99677485,254815.64949893
"182",2017-11-08 00:09:25,809700,809580,809708,3.10050023,0.59,12957.66244633,9614.22277311,254817.29499893
"183",2017-11-08 00:09:26,809500,809495,809500,0.03,5.86849977,12943.6247645,9634.53327213,254822.2423268
"184",2017-11-08 00:09:27,809500,809430,809500,0.829,5.17749977,12943.5777645,9617.05047263,254822.95332181
"185",2017-11-08 00:09:28,810000,809430,809580,0.829,0.00149957,12910.1551645,9540.7163722,254822.08180131
"186",2017-11-08 00:09:29,809500,809431,809500,1.20000098,4.9,12907.35516548,9549.22537023,254828.32280131
"187",2017-11-08 00:09:30,809448,809001,809448,0.391,0.407,12887.24316548,9694.70487097,254810.17323371
"188",2017-11-08 00:09:31,809270,809270,809500,0.0652,8.412,12867.24136598,9621.70967022,254804.19523413
"189",2017-11-08 00:09:32,809270,809270,809500,0.0452,6.912,12820.05747321,9641.73507127,254806.22223512
"190",2017-11-08 00:09:33,809003,809003,809470,1.08000024,1,12852.79486513,9665.5129774,254798.06473591
"191",2017-11-08 00:09:35,809470,809270,809470,0.01,0.1,12860.20926563,9659.16547816,254784.83923591
"192",2017-11-08 00:09:38,809051,809051,809400,3.28000246,1,12860.6239768,9644.4895752,254749.52823591
"193",2017-11-08 00:09:39,809488,809294,809488,0.01,5.8866,12861.31107483,9635.4372752,254753.61763591
