"","time","lst","best_bid","best_ask","best_bid_size","best_ask_size","total_bid_depth","total_ask_depth","volume"
"1",2017-11-08 00:17:07,812962,812793,812962,0.0199,1.6448,12789.69815942,9596.32661243,255663.50674318
"2",2017-11-08 00:17:08,812962,812793,812961,0.0199,0.32,12790.8981604,9597.94661169,255656.25814655
"3",2017-11-08 00:17:09,812961,812790,812791,0.07490098,7.98243411,12769.58829272,9606.96004481,255653.74814655
"4",2017-11-08 00:17:10,812790,812790,812791,0.06490098,11.40554961,12765.94358824,9711.70866095,255653.25046516
"5",2017-11-08 00:17:11,812791,812790,812791,0.06490098,10.79554888,12770.90015892,9708.58346022,255651.62936589
"6",2017-11-08 00:17:12,812790,812706,812790,0.6,0.22509902,12783.96257072,9638.94216022,255645.55382997
"7",2017-11-08 00:17:13,812706,812706,812790,0.55000049,0.22509902,12778.46225916,9619.48872463,255646.05282997
"8",2017-11-08 00:17:14,812706,812706,812710,0.55000049,0.1,12782.76845852,9614.58165868,255644.885714
"9",2017-11-08 00:17:15,812500,812500,812656,0.92980098,6.90799927,12768.90676935,9623.79265795,255657.94949527
"10",2017-11-08 00:17:16,812028,812001,812028,2.52875127,1.39999951,12759.66692893,9587.67955879,255618.42628674
"11",2017-11-08 00:17:17,812501,812501,812636,2.0100022,8.68243411,12766.47693137,9597.16199364,255620.41620404
"12",2017-11-08 00:17:18,812249,812249,812510,0.97,0.3,12789.47537073,9576.54266955,255617.20821989
"13",2017-11-08 00:17:19,812635,812249,812635,0.97,0.5,12790.05707024,9580.33566955,255615.55984224
"14",2017-11-08 00:17:20,812635,812249,812635,0.72,5.49070094,12777.80921665,9573.24736857,255605.2516413
"15",2017-11-08 00:17:21,812000,812000,812634,2.71740098,0.66,12752.05821592,9568.3793698,255593.4516413
"16",2017-11-08 00:17:22,812000,812250,812510,0.1315,1,12759.76865939,9577.91406836,255511.9516413
"17",2017-11-08 00:17:23,812250,812250,812450,0.1215,0.02,12780.52965963,9564.14106836,255506.4316413
"18",2017-11-08 00:17:24,812450,812018,812450,0.023,0.01,12760.69322698,9542.45318587,255495.9348413
