"","time","lst","best_bid","best_ask","best_bid_size","best_ask_size","total_bid_depth","total_ask_depth","volume"
"1",2017-11-08 01:45:26,808199,808161,808199,0.39,7.53100102,12780.9464794,9522.00331756,255412.43005351
"2",2017-11-08 01:45:27,808160,808160,808199,2.1682,7.53100102,12796.06668038,9546.3060198,255405.97225351
"3",2017-11-08 01:45:28,808162,808162,808199,0.3651,3.53100102,12806.04638013,9529.06092008,255404.97625252
"4",2017-11-08 01:45:29,808179,808179,808198,0.03,2.07522668,12792.15128038,9516.35814574,255403.10075207
"5",2017-11-08 01:45:30,808170,808170,808198,1.89667,2.07522668,12798.05895211,9508.84414549,255400.19403207
"6",2017-11-08 01:45:31,808170,808170,808195,1.88667,0.0074,12799.64895137,9511.42791782,255395.25603207
"7",2017-11-08 01:45:32,808170,808170,808194,1.28667,2.07522668,12803.55225187,9501.24014398,255394.78903207
"8",2017-11-08 01:45:33,808170,808170,808194,1.06797,2.07522668,12801.59025187,9518.63014647,255395.07169432
"9",2017-11-08 01:45:34,808194,808170,808194,1.01927,2.06802763,12801.54155187,9518.53294593,255393.63659337
"10",2017-11-08 01:45:35,808170,808170,808194,0.94647,2.06802763,12800.26875088,9516.96294593,255385.69914337
"11",2017-11-08 01:45:36,808170,808170,808198,0.44647,2.06802763,12823.76875235,9511.18194617,255385.28914337
"12",2017-11-08 01:45:37,808170,808170,808198,0.34647,2.06802763,12813.51315186,9526.55194668,255384.51914337
"13",2017-11-08 01:45:38,808161,808161,808198,0.06647,2.06802763,12808.73815186,9533.15194742,255375.89964337
"14",2017-11-08 01:45:39,808160,808160,808199,0.54467,1.06622867,12809.40575186,9524.95014822,255380.66144233
"15",2017-11-08 01:45:40,808200,808001,808299,1.7836,0.002,12807.47935186,9527.12592029,255378.58284492
"16",2017-11-08 01:45:41,808001,808001,808299,1.2836,0.002,12805.38134989,9527.37592004,255377.75794492
"17",2017-11-08 01:45:42,808000,808000,808299,22.97927,0.002,12787.37134964,9529.81742029,255377.93994492
"18",2017-11-08 01:45:43,808000,808002,808299,0.5885,0.002,12791.96184964,9530.99311902,255357.14824492
"19",2017-11-08 01:45:44,808000,808000,808124,22.97927,0.01,12791.37334964,9529.88311902,255353.15659392
"20",2017-11-08 01:45:45,808000,808003,808124,0.5885,0.01,12791.98184964,9529.37311952,255352.18209387
"21",2017-11-08 01:45:50,808170,808001,808170,5.5,2.19463075,12811.94795285,9520.85055075,255349.90376387
"22",2017-11-08 01:45:51,808412,808001,808167,6.0736,0.6,12804.55395147,9517.21191926,255353.90376387
"23",2017-11-08 01:45:52,808411,808001,808411,2.0736,0.65113042,12809.35195171,9525.99304968,255359.50376387
"24",2017-11-08 01:45:53,808412,808110,808270,0.01,0.002,12808.78835122,9522.54391901,255361.75666987
"25",2017-11-08 01:45:54,808325,808270,808325,0.1,0.8,12826.89675112,9536.81441942,255362.67406987
"26",2017-11-08 01:45:55,808221,808221,808324,0.55,0.56,12821.87438112,9526.43041867,255362.91406987
"27",2017-11-08 01:45:56,808170,808171,808324,0.368,0.56,12821.23275112,9523.67842016,255363.90406987
"28",2017-11-08 01:45:57,808170,808222,808409,1.6788,0.56,12815.72077999,9523.52402016,255363.55006987
"29",2017-11-08 01:45:58,808011,808223,808408,0.26,0.18,12817.61507999,9509.08051916,255367.53479387
"30",2017-11-08 01:45:59,808223,808223,808407,0.25850033,0.6,12842.21158081,9515.66431138,255367.48629354
"31",2017-11-08 01:46:00,808223,808224,808407,0.5903,0.6,12842.22258105,9511.32171014,255367.4814944
"32",2017-11-08 01:46:01,808223,808251,808406,1,1.14,12850.90058072,9503.64260964,255367.4112944
"33",2017-11-08 01:46:02,808551,808251,808551,1,0.60967718,12848.20058097,9502.64950964,255369.4112944
"34",2017-11-08 01:46:03,808551,808400,808405,0.02,0.18,12852.79518161,9497.83883029,255368.39309354
"35",2017-11-08 01:46:04,808251,808251,808376,0.8969,0.01,12851.50718189,9504.82983187,255365.91649354
"36",2017-11-08 01:46:05,808251,808252,808376,0.4132,0.01,12844.29038189,9509.78533312,255364.61649354
"37",2017-11-08 01:46:06,808251,808251,808376,0.3101,0.01,12843.63308189,9510.88213361,255364.2396944
"38",2017-11-08 01:46:07,808251,808252,808288,0.2203,0.01,12834.2543815,9501.63213286,255359.92819493
"39",2017-11-08 01:46:08,808252,808252,808288,0.21880043,0.01,12842.70288143,9503.4432336,255359.48929542
"40",2017-11-08 01:46:10,808252,808230,808376,1.52890043,0.01,12808.45945266,9502.65993311,255360.69929469
"41",2017-11-08 01:46:11,808252,808262,808376,2,0.01,12757.19095266,9510.52753386,255360.11629467
"42",2017-11-08 01:46:12,808999,808262,808546,2,1.20000099,12795.68488276,9519.52753485,255364.84128867
"43",2017-11-08 01:46:13,808409,808262,808409,1.305,4,12792.62098276,9522.71753485,255366.90128867
"44",2017-11-08 01:46:14,808263,808263,808404,0.8049,0.6,12780.96028126,9524.37483377,255365.54128867
"45",2017-11-08 01:46:15,808262,808262,808403,1.02467133,0.6,12820.31135234,9531.64083377,255361.758881
"46",2017-11-08 01:46:16,808222,808222,808405,0.20430176,5.1,12794.19618224,9537.59483383,255356.01245152
"47",2017-11-08 01:46:20,808343,808323,808343,0.05,0.002,12825.92608171,9534.73451258,255353.62595503
