"","time","lst","best_bid","best_ask","best_bid_size","best_ask_size","total_bid_depth","total_ask_depth","volume"
"1",2017-11-08 01:56:10,808400,808400,808560,0.0158,0.005,13005.09500354,9534.94792144,254137.30392626
"2",2017-11-08 01:56:11,808560,808400,808560,0.0158,0.004,13020.49740255,9528.14692119,254136.15592504
"3",2017-11-08 01:56:12,808560,808400,808560,0.0158,0.003,13007.85600205,9533.87592069,254134.85692504
"4",2017-11-08 01:56:13,808560,808400,808559,0.0158,7,13009.04110279,9556.15502069,254133.85592504
"5",2017-11-08 01:56:14,808560,808400,808558,0.0158,0.6,13003.74070255,9555.64462069,254133.3569236
"6",2017-11-08 01:56:15,808560,808400,808558,0.0158,0.6,13009.72052904,9555.03462069,254128.0549236
"7",2017-11-08 01:56:16,808558,808158,808558,0.21917351,0.599,13005.30120132,9557.60452094,254128.2559236
"8",2017-11-08 01:56:19,808106,808106,808559,0.96928854,6.7106,12967.80279109,9548.16682094,254180.19503506
"9",2017-11-08 01:56:20,807786,808159,808333,0.276,0.01,12969.344272,9564.39782316,254181.5972356
"10",2017-11-08 01:56:21,807182,807601,807887,2.40000074,0.03,12960.80978396,9565.38182024,254181.9052356
"11",2017-11-08 01:56:22,807605,807602,807663,0.96,0.019,12964.72593136,9562.25019061,254181.57349952
"12",2017-11-08 01:56:23,807601,807182,807601,0.18248116,0.63359976,12958.1471326,9564.76479666,254183.60299979
"13",2017-11-08 01:56:24,807651,807651,807663,0.24120099,0.019,12970.08433359,9559.94442697,254184.41956603
"14",2017-11-08 01:56:25,807600,807182,807600,5.18248116,7.19299901,12974.7894326,9553.58975308,254185.06166702
"15",2017-11-08 01:56:26,807600,807183,807600,0.6,7.19299901,12975.3894321,9554.88975308,254184.06166702
"16",2017-11-08 01:56:27,807599,807184,807599,0.6,0.38830083,12986.1431326,9546.57361222,254184.52416694
"17",2017-11-08 01:56:28,807599,807183,807599,0.84000024,0.38430083,12991.1231326,9559.15061498,254185.52816694
"18",2017-11-08 01:56:29,807599,807185,807599,0.577,0.38230083,12992.41107005,9549.54861423,254186.20686694
"19",2017-11-08 01:56:30,807600,807391,807600,0.04,1.44009984,13008.38907029,9511.77361275,254191.78506768
"20",2017-11-08 01:56:31,807600,807495,807599,0.04,0.6,13010.55926856,9528.572613,254177.00796768
"21",2017-11-08 01:56:35,807709,807709,807987,0.0594,0.599,13016.94106446,9535.14563281,254172.88059802
"22",2017-11-08 01:56:36,807987,807709,807987,0.0594,0.598,13015.21106446,9526.92763232,254172.62159802
"23",2017-11-08 01:56:37,807987,807709,807990,0.0594,0.98312935,13030.16506545,9534.86783306,254172.47245571
"24",2017-11-08 01:56:38,807987,807709,807990,0.0594,0.98312935,13026.31416545,9544.97447276,254171.47385693
"25",2017-11-08 01:56:42,807990,807709,807989,0.0594,0.8,13021.9274647,9549.46807277,254170.67285693
"26",2017-11-08 01:56:43,807710,807710,807989,6.987,0.8,13028.6414647,9563.32507252,254169.68585693
"27",2017-11-08 01:56:44,808000,807990,808035,0.78087065,0.014,13028.18843535,9571.48584317,254170.47398628
"28",2017-11-08 01:56:45,808035,807712,808035,0.16,0.013,13018.09566544,9576.39484267,254170.47498628
"29",2017-11-08 01:56:46,808154,808087,808154,0.461,0.178,13014.73726396,9576.92484267,254169.66268682
"30",2017-11-08 01:56:47,808154,808087,808154,0.461,0.01052787,13005.36546495,9563.52937103,254169.83015895
"31",2017-11-08 01:56:48,808155,808087,808155,0.461,0.46,13013.97066396,9562.24157253,254170.62515895
"32",2017-11-08 01:56:49,808155,808092,808155,0.005,0.46,13017.68616445,9556.31357352,254170.51335969
"33",2017-11-08 01:56:50,808155,808092,808155,0.005,0.455,13017.92166445,9552.63257332,254170.51835969
