"","time","lst","best_bid","best_ask","best_bid_size","best_ask_size","total_bid_depth","total_ask_depth","volume"
"1",2017-11-08 00:27:27,810880,810880,810882,0.68,3.74870034,13033.14004615,9824.77883317,253652.10874558
"2",2017-11-08 00:27:29,811000,810881,810999,0.03,0.26,13027.10109222,9828.17983366,253656.82364678
"3",2017-11-08 00:27:30,811000,810881,810999,0.03,0.26,13027.10109222,9828.17983366,253656.82364678
"4",2017-11-08 00:27:31,810881,810644,811000,0.559,3.22870034,13037.14370157,9825.41783316,253653.08554678
"5",2017-11-08 00:27:32,810881,810881,811000,0.84970034,3.22870034,13039.32240215,9827.80383366,253653.07130971
"6",2017-11-08 00:27:33,810881,810881,811001,0.24970034,3,13030.28240093,9818.97513283,253653.75023971
"7",2017-11-08 00:27:34,810600,810645,810999,2.4,12.6,13039.34240166,9831.40013258,253654.33023971
"8",2017-11-08 00:27:35,810600,810850,810977,0.001,0.559,13030.65310151,9833.98913283,253654.11723971
"9",2017-11-08 00:27:37,810976,810646,810976,0.171,1.9310478,13041.05530191,9847.25058151,253654.57779227
"10",2017-11-08 00:27:38,810976,810646,810976,0.171,1.9310478,13038.65530117,9837.66758077,253652.00779227
"11",2017-11-08 00:27:40,810602,810646,810975,0.26,0.1592,13023.28743251,9844.28525574,253651.62779227
"12",2017-11-08 00:27:41,810600,810600,810975,0.28870034,0.1592,13020.52347802,9838.54525574,253654.62674227
"13",2017-11-08 00:27:43,810504,810850,810974,1.5,1.2956,13022.50659498,9830.5140545,253644.83267083
"14",2017-11-08 00:27:44,810504,810850,810973,1.5,1.2000005,13024.90659572,9841.31405574,253641.43267083
"15",2017-11-08 00:27:45,810160,810160,810974,9.66352461,1.2956,13004.80755051,9822.63243193,253661.54262083
"16",2017-11-08 00:27:46,810161,810160,810850,9.66352461,0.02,12996.95735051,9835.19365774,253658.37178764
"17",2017-11-08 00:27:47,810610,810162,810500,1.1246,0.95,13000.38195198,9831.92167858,253659.51178764
"18",2017-11-08 00:27:48,810162,810162,810500,0.1246,0.95,12989.78195198,9829.15467834,253659.49888694
"19",2017-11-08 00:27:49,810851,810356,810500,0.01,3.1,12999.76735247,9838.93427908,253661.73378078
"20",2017-11-08 00:27:50,810001,810001,810060,0.01926099,0.91285997,12993.96396559,9841.43513905,253678.07042086
"21",2017-11-08 00:27:51,810000,810000,810102,13.29022102,0.4,12982.63092513,9785.83207957,253681.01723082
"22",2017-11-08 00:27:52,810356,810356,810498,28.7695,0.6,13024.19652476,9779.63127942,253685.29750375
"23",2017-11-08 00:27:54,810356,810356,810495,9.9695,0.01197179,13032.71044191,9813.49038766,253702.94495375
"24",2017-11-08 00:27:56,810356,810356,810400,2.71949975,5,13018.36044117,9830.63590017,253703.79910619
"25",2017-11-08 00:27:57,810356,810356,810400,1.11949975,5,13026.08044215,9821.03589943,253703.37900619
"26",2017-11-08 00:27:58,810356,810357,810399,0.32,1.1239,13035.37644191,9821.99729755,253704.93590619
"27",2017-11-08 00:27:59,810160,810161,810400,0.9274,5,13027.3238424,9837.12263014,253714.40490619
"28",2017-11-08 00:28:00,810160,810211,810398,2,1.0725,13030.75684191,9844.11526334,253717.39383619
"29",2017-11-08 00:28:01,810400,810400,810402,0.2821,0.01,13053.52564167,9852.96140001,253724.06380619
"30",2017-11-08 00:28:02,810399,810350,810400,0.01197139,0.78282,13064.75721306,9909.31332001,253725.15930619
"31",2017-11-08 00:28:03,810213,810215,810400,0.14,0.78282,13015.33524265,9894.03332174,253730.15570662
"32",2017-11-08 00:28:05,810399,809999,810281,1.1,0.01,12987.39474937,9847.61679543,253779.15024741
"33",2017-11-08 00:28:06,810500,810216,810498,0.14,0.32,13003.90406886,9820.9197238,253811.14974746
"34",2017-11-08 00:28:07,810500,810216,810498,0.14,0.32,13003.32406886,9820.9197238,253810.65174746
"35",2017-11-08 00:28:08,810216,810100,810499,0.491,0.8419,13005.20506984,9824.59467799,253808.12176769
