"","time","lst","best_bid","best_ask","best_bid_size","best_ask_size","total_bid_depth","total_ask_depth","volume"
"1",2017-11-08 02:28:37,807984,807691,807984,0.1,3.3775,13183.05561472,9723.52920794,249811.67963402
"2",2017-11-08 02:28:38,807984,807696,807984,0.005,2.0689,13170.7086135,9722.22060794,249812.97573402
"3",2017-11-08 02:28:39,807862,807696,807862,0.005,0.00820024,13181.4525135,9720.74191052,249815.46753378
"4",2017-11-08 02:28:40,807693,807693,807862,0.555,0.00820024,13179.3602135,9720.00071052,249815.48823599
"5",2017-11-08 02:28:41,807550,807551,807862,0.6,0.00820024,13176.99481375,9720.13151052,249813.78823599
"6",2017-11-08 02:28:42,807550,807552,807862,0.666,0.00820024,13176.92231375,9710.90100829,249813.69873599
"7",2017-11-08 02:28:43,807550,807556,807862,0.005,0.00820024,13174.82231305,9720.76321471,249813.11173599
"8",2017-11-08 02:28:44,807550,807556,807862,0.005,0.00820024,13179.05631329,9720.76221497,249812.62933599
"9",2017-11-08 02:28:45,808000,808000,808004,8.48349586,0.00205,13187.26520964,9714.74571083,249813.85584014
"10",2017-11-08 02:28:46,808000,808000,808004,8.48349586,0.00205,13186.56280939,9714.74347058,249813.84724199
"11",2017-11-08 02:28:47,808050,808000,808050,8.48349586,4.35165004,13186.20880949,9714.46657062,249813.42664319
"12",2017-11-08 02:28:48,808000,808021,808050,3,4.33165004,13189.79789366,9712.44656814,249812.95663974
"13",2017-11-08 02:28:49,808000,808021,808050,3,4.33165004,13175.69789293,9712.44656814,249811.42831291
"14",2017-11-08 02:28:50,808050,808034,808050,0.308,2.33747397,13192.37599341,9710.45239207,249813.27821291
"15",2017-11-08 02:28:51,808034,808034,808050,0.29,1.53297397,13190.68789292,9722.59889207,249802.94631291
"16",2017-11-08 02:28:52,808034,808034,808050,0.289,0.83297397,13150.80439706,9740.95999282,249790.93531439
"17",2017-11-08 02:28:53,808050,808050,808486,0.1427,0.0934,13132.39909706,9711.89529282,249784.25333689
"18",2017-11-08 02:28:54,808383,808178,808383,0.03,1.2597,13134.20359625,9707.07499306,249785.05313648
"19",2017-11-08 02:28:55,808599,808213,808599,0.03,1.3197,13138.6176965,9717.83499381,249784.38413797
"20",2017-11-08 02:28:56,808599,808249,808614,3,0.22,13145.73039805,9716.76529381,249780.93763773
"21",2017-11-08 02:28:57,808249,808249,808303,2.999,0.00199928,13136.67139781,9713.14398736,249781.27483751
"22",2017-11-08 02:28:58,808249,808250,808303,0.703,0.00199928,13131.63739869,9711.16048785,249774.95323823
"23",2017-11-08 02:28:59,808249,808250,808303,0.703,0.00199928,13131.63739869,9711.16048785,249774.35323823
"24",2017-11-08 02:29:00,808451,808433,808451,0.1423,0.02446688,13139.34811699,9366.67025048,249795.94917085
"25",2017-11-08 02:29:01,808451,808250,808451,0.44,0.02046688,13133.82781526,9366.63725078,249800.47167089
"26",2017-11-08 02:29:02,808564,808564,808999,0.23653414,2.7052005,13151.67035121,9366.6584839,249801.43803602
"27",2017-11-08 02:29:03,808625,808625,808791,0.0204,0.005,13144.60261584,9368.61138304,249801.11214469
"28",2017-11-08 02:29:04,808652,808597,808652,3,0.008,13144.07981584,9348.31938304,249812.09414469
"29",2017-11-08 02:29:05,808652,808597,808621,3,0.04,13144.61901633,9358.68838428,249783.7489966
"30",2017-11-08 02:29:06,808599,808772,808996,5,0.747,13159.04501682,9359.77698428,249782.9849966
"31",2017-11-08 02:29:07,808772,808772,808998,4.90460705,1.14700099,13159.76542387,9364.57738553,249771.99238955
"32",2017-11-08 02:29:08,809130,808998,809130,1.0141,9.20567488,13155.02652362,9359.10838629,249781.33007765
"33",2017-11-08 02:29:09,808998,808998,809130,0.0041,8.20567488,13142.65991657,9358.49838604,249783.33807765
"34",2017-11-08 02:29:10,809130,808602,809130,0.005,7.88567488,13139.97281681,9358.05838654,249783.38807765
"35",2017-11-08 02:29:11,809130,808602,809130,0.00020076,0.19787488,13128.33121782,9369.36178729,249789.85117689
"36",2017-11-08 02:29:12,809219,809130,809219,0.1188,0.167,13135.98601684,9360.39278679,249764.09417689
"37",2017-11-08 02:29:13,809333,809250,809333,0.088,6.00637538,13136.78121684,9359.02878679,249765.92157689
"38",2017-11-08 02:29:14,809250,809250,809332,0.047,0.01,13135.79201584,9370.76878679,249766.9241553
"39",2017-11-08 02:29:15,809129,809129,809174,0.049,0.003,13124.98351608,9375.20778779,249767.6971553
"40",2017-11-08 02:29:16,809333,809331,809332,0.1694,0.01,13133.04091632,9377.16378902,249769.5435553
"41",2017-11-08 02:29:17,808707,808707,809332,0.355,0.27,13124.20551632,9385.08278902,249766.9029553
"42",2017-11-08 02:29:18,809548,808929,809520,0.005,5,13139.45991684,9389.04778853,249768.12741918
"43",2017-11-08 02:29:19,809548,808929,809019,0.005,0.04,13132.90211636,9377.36941264,249734.96741918
"44",2017-11-08 02:29:20,809549,808929,809000,0.004,0.2,13136.385115,9360.75441209,249691.27034243
"45",2017-11-08 02:29:21,808929,808800,808907,0.02,0.002,13135.56111476,9365.93641209,249680.99278982
