"","time","lst","best_bid","best_ask","best_bid_size","best_ask_size","total_bid_depth","total_ask_depth","volume"
"1",2017-11-07 23:54:40,806427,806427,806599,0.40483888,0.87657898,11937.43696808,9354.85056026,251551.36568367
"2",2017-11-07 23:54:45,806500,806400,806440,0.4,0.5,11948.31022937,9358.18918246,251573.47367057
"3",2017-11-07 23:54:49,806050,806050,806400,6.35100049,3.99,11923.24432932,9438.10290474,251579.90730332
"4",2017-11-07 23:54:50,806169,806051,806169,0.60000049,1.613,11901.06953118,9525.09950549,251581.22170332
"5",2017-11-07 23:54:53,806052,806052,806370,0.239,9,11832.69112994,9517.5172483,251605.97670074
"6",2017-11-07 23:54:54,805900,805899,805900,0.5,9.90299828,11826.58312822,9527.52024658,251611.76370246
"7",2017-11-07 23:54:55,805700,805700,805900,0.463,9.59299828,11822.73922897,9541.19024162,251602.0076343
"8",2017-11-07 23:54:56,805900,805680,805900,0.067,2.58299828,11825.22322896,9543.48759543,251609.56003388
"9",2017-11-07 23:54:57,805401,805600,805900,5,2.44299828,11920.35122872,9576.43099543,251611.01112025
"10",2017-11-07 23:54:58,805700,805623,805700,0.6,3.99,11994.70722858,9581.32439365,251621.97821443
"11",2017-11-07 23:54:59,805623,805623,805700,0.501,3.99,11964.23822809,9595.09439639,251624.32031443
"12",2017-11-07 23:55:00,805700,805623,805700,0.378,3.82879981,11977.84823362,9600.14932188,251624.26191462
"13",2017-11-07 23:55:01,805700,805623,805700,0.202,0.11879908,11976.67223362,9597.6093199,251627.44791535
"14",2017-11-07 23:55:02,805850,805700,805850,0.04284092,2.96,11976.61307454,9597.75442112,251628.48016347
"15",2017-11-07 23:55:03,805555,805555,805850,9.55384092,2.56,11986.84621502,9584.22841863,251628.44336347
"16",2017-11-07 23:55:05,805312,805312,805880,3.05527305,10,11960.78998857,9593.79992013,251664.79979046
"17",2017-11-07 23:55:06,805880,805314,805880,0.24,9.39,11913.92998857,9591.27099453,251726.07199046
"18",2017-11-07 23:55:07,805700,805700,805880,11.389,9.101,11973.54698955,9582.60091988,251727.65342501
"19",2017-11-07 23:55:08,805700,805700,805880,8.979,9.051,12007.75699053,9585.65092237,251730.13342501
"20",2017-11-07 23:55:09,805700,805700,805734,4.295,0.45320074,12005.38389053,9572.49852144,251734.58432427
"21",2017-11-07 23:55:10,805313,805313,805555,0.269,3.37799901,11992.26199078,9562.3350197,251740.17532526
"22",2017-11-07 23:55:11,805000,805000,805314,1.009,0.1038,11962.1819898,9571.94382145,251746.35892526
"23",2017-11-07 23:55:12,805001,805001,805555,0.96600099,2.07179901,11968.01799103,9570.93382195,251748.36222526
"24",2017-11-07 23:55:13,805221,805221,805555,1.945,2.07179901,11977.78899054,9561.38282046,251747.57122526
"25",2017-11-07 23:55:14,805002,805202,805555,0.59799992,2.07179901,11967.75298984,9560.71180192,251767.70222526
"26",2017-11-07 23:55:15,805002,805002,805554,5.09999992,0.0519,11975.62388909,9561.95962722,251766.16714585
"27",2017-11-07 23:55:18,805100,805100,805201,43.38816099,0.4593,12036.93105189,9553.27102471,251775.80114585
"28",2017-11-07 23:55:19,805100,805100,805201,41.65516099,0.4593,12028.59605042,9567.07102496,251776.13414585
"29",2017-11-07 23:55:20,805100,805100,805300,16.59816099,3.9793,12052.13904993,9574.01815384,251798.78814585
"30",2017-11-07 23:55:21,805100,805100,805200,12.82116099,5,12059.88205042,9586.16915755,251801.96514561
"31",2017-11-07 23:55:22,805100,805100,805200,12.24816099,4.63,12076.59895189,9592.70015797,251803.87703856
"32",2017-11-07 23:55:25,804610,804610,805100,24.027,5.11783901,12056.31678991,9580.26936736,251781.41553221
"33",2017-11-07 23:55:26,805100,804611,805100,3.01610099,5.99503901,12047.60989238,9583.24656537,251787.997971
"34",2017-11-07 23:55:27,805100,805100,805196,7.03396099,0.005,12049.94395214,9566.83932636,251793.35701001
"35",2017-11-07 23:55:28,805100,805100,805199,0.13316107,0.1788,12044.33531296,9572.80932885,251800.92380993
"36",2017-11-07 23:55:29,805005,805005,805020,9.94,0.06323996,12046.37265238,9573.37506923,251798.16347145
"37",2017-11-07 23:55:30,805005,805005,805020,9.94,0.06323996,12046.37265238,9573.50506923,251794.16347145
"38",2017-11-07 23:55:31,805005,805005,805020,9.657,0.06323996,12064.57665287,9564.40506848,251795.04647169
"39",2017-11-07 23:55:32,805200,805101,805200,0.03,3.9688,12594.84431299,9565.50872858,251797.81951305
"40",2017-11-07 23:55:33,805015,805015,805099,1.7,0.37646627,12598.03635411,9568.91519639,251796.61366491
"41",2017-11-07 23:55:34,805005,805005,805019,4.336,0.004,12578.04990068,9570.10209758,251801.45246447
"42",2017-11-07 23:55:37,805200,805200,805300,10.251,0.59,12624.50889795,9567.9750956,251815.53947251
"43",2017-11-07 23:55:38,805200,805200,805300,10.24,0.59,12625.89789795,9553.37509385,251815.62149251
"44",2017-11-07 23:55:39,805200,805200,805554,6.585,0.77416796,12640.84289894,9551.2190941,251821.43349251
"45",2017-11-07 23:55:40,805554,805202,805554,0.023,0.42216796,12628.54108013,9565.60709723,251814.92657909
"46",2017-11-07 23:55:41,806000,805200,806000,2.2993,1.58479926,12607.9390789,9555.07492927,251827.24507956
"47",2017-11-07 23:55:42,805500,805300,805500,4.00379944,0.3,12609.67387859,9563.80800728,251833.35735423
"48",2017-11-07 23:55:43,805500,805300,805500,4.00179944,0.2,12610.97187908,9563.92693288,251832.95935423
"49",2017-11-07 23:55:44,805301,805301,805549,0.065,0.60000075,12626.18926059,9541.78332989,251833.76135423
"50",2017-11-07 23:55:48,805649,805565,805649,4.82377925,4.741001,12609.7633389,9548.35533191,251851.18293606
"51",2017-11-07 23:55:49,805565,805565,805649,4.22377925,4.741001,12609.1633389,9548.35533191,251851.87630202
"52",2017-11-07 23:55:50,805649,805230,805548,0.5,0.60000025,12613.82563963,9543.59662818,251854.98840202
"53",2017-11-07 23:55:51,805799,805565,805776,0.13,1.0683015,12637.41123821,9545.98100508,251860.13540202
"54",2017-11-07 23:55:52,805776,805565,805800,0.13,2.13000299,12640.81123944,9546.13162918,251861.12510202
"55",2017-11-07 23:55:53,805800,805565,805800,0.13,1.66000299,12686.39063944,9537.35352977,251861.12292496
"56",2017-11-07 23:55:54,805800,805565,805800,0.13,1.66000299,12696.59063993,9539.75353027,251861.01388131
"57",2017-11-07 23:55:55,806000,805800,806000,0.9,2.76420225,12697.91153993,9530.92562878,251866.984426
"58",2017-11-07 23:55:56,806000,805801,806000,0.6,2.46420225,12693.50254116,9526.45063102,251831.93198099
"59",2017-11-07 23:55:57,806000,805801,805999,2.381,0.56,12674.89249712,9499.78469205,251833.16017971
"60",2017-11-07 23:55:58,806000,805802,805999,1.1018,0.56,12675.61139712,9499.0846913,251823.06017971
"61",2017-11-07 23:55:59,806008,806000,806008,9.44,0.19,12678.00439712,9498.8646913,251823.37747971
"62",2017-11-07 23:56:00,806350,806000,806350,8.84,3.87899988,12677.51659786,9507.88259355,251828.27747971
"63",2017-11-07 23:56:01,806350,806000,806350,10.03820004,2.96799988,12631.31519642,9484.12159205,251828.20827967
"64",2017-11-07 23:56:02,806350,806029,806350,0.01,2.96799988,12596.06519666,9544.94439205,251826.70627967
"65",2017-11-07 23:56:03,806001,806001,806349,0.81,0.8976,12633.40609666,9569.74324899,251828.24147839
"66",2017-11-07 23:56:04,806401,806001,806401,0.81,1.30940076,12585.32219592,9531.67694974,251832.59126852
"67",2017-11-07 23:56:05,806411,806401,806411,0.4,12.20039904,12586.82217328,9541.1481214,251835.60226852
"68",2017-11-07 23:56:06,806002,806401,806411,0.2,10.28481504,12602.72477378,9523.52463565,251839.54426852
"69",2017-11-07 23:56:08,806401,806401,806410,0.059,0.5,12594.69967385,9542.22363616,251836.32237797
"70",2017-11-07 23:56:09,806100,806100,806411,4.608,9.64681504,12611.72567458,9545.94733616,251834.68737797
"71",2017-11-07 23:56:10,806411,806101,806410,1.7507,0.22,12599.87557433,9549.35133541,251832.59423137
"72",2017-11-07 23:56:11,806101,806101,806410,1.7397,0.22,12600.46457507,9547.11433541,251830.60523137
"73",2017-11-07 23:56:12,806101,806102,806411,1.1569,8.61681504,12600.79627404,9539.82733541,251828.51623137
"74",2017-11-07 23:56:13,806391,806200,806341,0.8,1,12603.89627453,9534.34117014,251848.52793137
"75",2017-11-07 23:56:14,806100,806102,806341,0.033,1,12596.37937379,9524.93416914,251862.23753137
"76",2017-11-07 23:56:15,806390,806010,806390,0.189,1.9635,12595.91537429,9530.59817139,251871.21365038
"77",2017-11-07 23:56:16,805803,806103,806410,0.0539,0.6,12590.71195949,9524.36174504,251881.10306542
"78",2017-11-07 23:56:17,806354,806103,806354,0.0539,0.707,12587.10195949,9523.69874529,251882.59808769
"79",2017-11-07 23:56:18,806353,806011,806353,0.0429,0.2,12590.74485925,9506.5937891,251918.04134463
"80",2017-11-07 23:56:19,806341,806342,806353,7,0.2,12617.52947524,9505.6367891,251916.28590241
"81",2017-11-07 23:56:20,806400,806342,806400,7.781285,1.55,12607.92275975,9492.77558785,251921.03590241
"82",2017-11-07 23:56:21,806400,806342,806400,6.9,0.55,12601.37477376,9490.3915876,251922.65310241
"83",2017-11-07 23:56:22,806488,806343,806488,0.881285,5.3690005,12606.12105951,9490.6605881,251928.48410241
"84",2017-11-07 23:56:23,806342,806342,806488,3.481285,4.3690005,12601.87105951,9489.7105881,251932.89150241
"85",2017-11-07 23:56:24,806488,806343,806488,1.081285,2.9690005,12590.85105975,9484.9105876,251934.71790241
"86",2017-11-07 23:56:25,806488,806342,806488,0.2,1.9390005,12600.25077524,9479.4405866,251932.13289992
"87",2017-11-07 23:56:26,806011,806011,806487,1.10000123,0.84,12596.06577549,9492.39519133,251933.2012636
"88",2017-11-07 23:56:27,806010,806344,806486,7,1.1209,12583.99787352,9490.48558934,251935.2012636
"89",2017-11-07 23:56:28,806486,806400,806486,0.55,0.4209,12581.90687427,9479.78258681,251935.68754309
"90",2017-11-07 23:56:29,806010,806105,806489,0.8,0.44267305,12577.8697119,9491.63258806,251940.60754309
"91",2017-11-07 23:56:30,806400,806400,806485,0.297,1.0055,12584.38730455,9496.2380898,251939.62054309
"92",2017-11-07 23:56:31,806105,806106,806485,0.6,0.0055,12596.98580606,9495.5040909,251941.59334334
"93",2017-11-07 23:56:32,806485,806485,806500,0.90345284,1.81817305,12603.9956589,9547.8336909,251940.63544286
"94",2017-11-07 23:56:33,806500,806485,806525,0.90345284,2,12603.59665897,9546.96551785,251942.95361591
"95",2017-11-07 23:56:34,806489,806485,806489,0.90165338,0.48,12605.89485852,9547.44551661,251942.91411537
"96",2017-11-07 23:56:35,806489,806485,806489,0.90165338,0.46,12606.88245852,9546.86787875,251942.93411537
"97",2017-11-07 23:56:36,806201,806201,806488,0.89875338,0.3,12592.79245852,9539.93727875,251943.12611537
"98",2017-11-07 23:56:39,806489,806203,806489,1.2203,2.19,12621.60300612,9576.14787751,251946.28075538
"99",2017-11-07 23:56:40,806489,806204,806489,7,2.14,12621.61400612,9566.49787676,251946.23075538
"100",2017-11-07 23:56:41,806489,806344,806489,0.104,2.14,12623.71970612,9564.59787626,251942.73075538
"101",2017-11-07 23:56:42,806489,806400,806489,0.09,1.14,12623.90070622,9562.77789526,251943.46235538
"102",2017-11-07 23:56:43,806344,806344,806699,0.094,14.40000175,12606.18770474,9571.80069601,251951.28676961
"103",2017-11-07 23:56:47,806695,806344,806695,0.084,0.145001,12612.10970523,9553.66129701,251974.20215975
"104",2017-11-07 23:56:48,806780,806344,806780,0.084,0.32481354,12610.98070375,9549.13169701,251977.73695975
"105",2017-11-07 23:56:49,806990,806345,806990,6.97,1.83481404,12616.31970319,9540.13169676,251982.26695975
"106",2017-11-07 23:56:50,807000,806346,806485,0.6,0.00149917,12623.86900388,9537.47279718,251986.96695975
"107",2017-11-07 23:56:51,807080,807000,807080,1.77458321,17.39,12621.42208842,9499.92188272,252027.976806
"108",2017-11-07 23:56:52,806725,806461,806725,0.436,0.69331917,12604.45018571,9495.41335879,252054.99300206
"109",2017-11-07 23:56:53,806985,806461,806985,0.436,0.00431917,12597.86308571,9499.82594498,252056.14200206
"110",2017-11-07 23:56:54,807560,806461,807000,0.436,1,12577.27042755,9467.66594697,252104.84620206
"111",2017-11-07 23:56:55,807560,806462,807000,1.5711,1,12559.86791161,9469.50374747,252107.39090206
"112",2017-11-07 23:56:56,807000,806755,807000,0.01,0.5,12573.12531137,9468.36014673,252107.99090206
"113",2017-11-07 23:56:57,807000,806755,807002,0.01,0.5,12570.5253126,9463.46014648,252111.07923933
"114",2017-11-07 23:56:58,807560,806800,807560,0.02,6.74733807,12560.91631266,9454.45194709,252121.63423933
"115",2017-11-07 23:56:59,807560,806950,807560,0.097,2.43723807,12558.15521266,9438.37184684,252130.01523933
"116",2017-11-07 23:57:00,807025,807002,807025,0.6,1.99,12563.7262129,9463.44490612,252129.93904056
"117",2017-11-07 23:57:01,807025,806950,807025,0.097,1.35420225,12560.74621191,9456.14400637,252131.07483831
"118",2017-11-07 23:57:02,807025,807070,807450,9.09579775,7,12581.62740966,9473.41580686,252133.9637401
"119",2017-11-07 23:57:03,807450,807071,807449,0.6,0.6,12571.64940942,9482.07280686,252133.4337401
"120",2017-11-07 23:57:04,807071,807071,807774,2.1994,0.1005,12573.5494114,9467.24330686,252161.7337401
"121",2017-11-07 23:57:05,807800,807360,807800,0.03,25.91773807,12555.32941165,9436.23430537,252193.38943855
"122",2017-11-07 23:57:06,807072,807072,807558,0.46580123,4.870715,12556.16071238,9415.29501913,252198.71043806
"123",2017-11-07 23:57:07,807679,807259,807679,0.119,8.390715,12564.97771379,9402.03102012,252206.77243764
"124",2017-11-07 23:57:08,807774,807439,807774,0.8783,4.648715,12568.43781238,9378.27833587,252238.37243862
"125",2017-11-07 23:57:09,807774,807260,807774,0.7732,0.418715,12562.7327114,9371.59593487,252246.25580769
"126",2017-11-07 23:57:10,807260,807260,807606,0.2732,0.04,12566.66271189,9340.22593347,252276.75580769
"127",2017-11-07 23:57:11,807488,807262,807488,7,4.3425,12602.52141265,9424.29699776,252279.41330769
"128",2017-11-07 23:57:12,807488,807281,807488,2,1.0242,12669.94461213,9564.56923957,252282.73160769
"129",2017-11-07 23:57:13,807693,807281,807488,2,1,12666.44911336,9622.30504428,252288.05580769
"130",2017-11-07 23:57:14,807488,807282,807488,7,0.5,12681.13911336,9641.49308657,252288.54580769
"131",2017-11-07 23:57:15,807995,807282,807995,2.7182,23.05619835,12649.01861149,9614.13198162,252296.76280769
"132",2017-11-07 23:57:16,807488,807487,807488,0.1908,2.08,12615.82611124,9634.60118162,252297.3956397
