"","time","lst","best_bid","best_ask","best_bid_size","best_ask_size","total_bid_depth","total_ask_depth","volume"
"1",2017-11-08 00:38:22,809998,809357,809998,0.498,0.78,13079.09378768,9741.84873965,253600.51770803
"2",2017-11-08 00:38:23,810000,809856,810000,0.01,13.13018539,13086.9596879,9737.89984114,253611.41665803
"3",2017-11-08 00:38:24,810000,809856,809997,0.01,0.6542,13088.22118755,9783.32384011,253611.41665803
"4",2017-11-08 00:38:25,809856,809362,809903,0.005,0.01,13084.28466218,9789.48564085,253607.66280634
"5",2017-11-08 00:38:26,810000,809358,810000,0.24127512,1.82968539,13080.40466071,9775.24613855,253620.35223634
"6",2017-11-08 00:38:27,810000,809730,809996,0.05,1.0895,13075.44076095,9772.7186378,253620.35223634
"7",2017-11-08 00:38:28,810055,809730,810055,0.05,4.49118539,13068.71648587,9788.90663929,253624.34330634
"8",2017-11-08 00:38:29,810000,810000,810055,1.2326,4.48718539,13079.31648636,9799.44183929,253624.76470634
"9",2017-11-08 00:38:30,810000,810000,810033,0.43278,0.2163,13075.98286587,9808.85953929,253623.90040407
"10",2017-11-08 00:38:31,810000,810000,810255,0.42558005,0.66000609,13086.45486641,9795.72153929,253638.50760402
"11",2017-11-08 00:38:32,810055,810055,810420,1.71550126,0.08992755,13095.28200488,9791.86904078,253638.26985359
"12",2017-11-08 00:38:33,809730,809600,809700,0.02,1.74128239,13047.7339969,9803.68952466,253636.5185712
"13",2017-11-08 00:38:34,809360,809365,810420,4.8,0.08992755,13048.43523451,9791.01824004,253637.0109126
"14",2017-11-08 00:38:35,810023,809366,810023,0.44,0.97,13042.01585639,9797.69868188,253637.34090008
"15",2017-11-08 00:38:36,810023,809917,810000,0.01,0.5,13041.67835611,9798.98767971,253629.72200008
"16",2017-11-08 00:38:37,810023,809917,809999,0.01,7,13041.44599359,9811.7876807,253630.52200008
"17",2017-11-08 00:38:38,809917,809369,809999,1.64250024,6.7,13035.94089369,9810.1371807,253626.42800112
"18",2017-11-08 00:38:39,809369,809369,809998,1.54643782,1.2,13044.21083151,9804.55535077,253625.42301354
"19",2017-11-08 00:38:40,809883,809609,809883,0.17883154,0.502,13047.38601712,9802.4578307,253632.83401354
"20",2017-11-08 00:38:41,809940,809609,809882,0.16383154,1.6201,13070.04377876,9795.57590131,253619.89415441
"21",2017-11-08 00:38:42,809882,809609,809882,0.07383154,0.41809902,13070.42064094,9820.27390281,253612.73669079
"22",2017-11-08 00:38:43,809882,809882,809917,1.1181,5,13040.62944045,9820.02680305,253608.95778915
"23",2017-11-08 00:38:45,809917,809770,809917,0.01,1.24319976,13046.9913202,9817.85283276,253610.51451843
"24",2017-11-08 00:38:46,809917,809770,809917,0.01,1.34319976,13047.5913202,9806.38283251,253608.75679212
"25",2017-11-08 00:38:47,809917,809770,809790,0.01,9.1,13029.3822202,9828.10893451,253607.55679212
"26",2017-11-08 00:38:48,809790,809770,809790,0.01,5.6,13034.59841996,9816.70193339,253608.05679212
"27",2017-11-08 00:38:49,809790,809770,809790,0.01,5.6,13030.24581981,9812.62123288,253605.53891637
"28",2017-11-08 00:38:50,809790,809770,809790,0.01,5.6,13024.42982079,9847.13940245,253605.02691637
"29",2017-11-08 00:38:51,810000,810000,810260,0.01,28.40199988,13019.02242079,9827.33940146,253618.60491421
"30",2017-11-08 00:38:55,809609,809618,809789,0.59850043,1.6034,13025.27864774,9835.84280319,253626.22662075
"31",2017-11-08 00:38:56,809617,809620,809788,0.2,0.6,13025.9535478,9835.96280319,253615.07562075
"32",2017-11-08 00:38:57,809617,809620,809788,0.2,0.6,13031.27094731,9838.3528022,253614.35457075
"33",2017-11-08 00:38:58,809620,809620,809788,0.17,0.6,13031.28109479,9835.87280221,253613.3749944
"34",2017-11-08 00:38:59,809620,809600,809620,0.01055928,0.2,13045.21009529,9826.41840269,253605.92699345
"35",2017-11-08 00:39:01,809620,809618,809782,0.46,7,13042.55829519,9845.41920319,253592.02834347
"36",2017-11-08 00:39:02,809620,809600,809734,1.51055928,0.05,13041.82189548,9839.66319336,253581.07727275
"37",2017-11-08 00:39:03,809620,809600,809734,1.51055928,0.05,13053.27839548,9829.74868745,253575.78623435
"38",2017-11-08 00:39:04,809620,809600,809733,1.51055928,7,13052.77839548,9837.24621738,253576.50263568
"39",2017-11-08 00:39:05,809620,809601,809733,3.60000172,7,13050.3783972,9840.19711788,253575.97827812
