"","time","close","high","low","open","volumefrom","volumeto"
"56",2017-12-25 18:52:00,2010858,2011235,2006068,2007432,52.057415,104505336
"57",2017-12-25 18:53:00,2006983,2008000,2003650,2003650,37.47664,75161090
"58",2017-12-25 18:54:00,2004396,2009999,2003788,2008278,25.38253,50934796
"59",2017-12-25 18:55:00,2008278,2012750,2006666,2012750,36.665012,73690200
"60",2017-12-25 18:56:00,2011000,2016000,2010850,2011072,55.976456,112713950
"61",2017-12-25 18:57:00,2012000,2013333,2008427,2008643,26.018904,52327856
"62",2017-12-25 18:58:00,2008642,2011600,2006372,2007505,26.993732,54193704
"63",2017-12-25 18:59:00,2007505,2011253,2007500,2009502,27.662807,55585530
"64",2017-12-25 19:00:00,2009183,2010844,2008957,2008959,17.99545,36158896
"65",2017-12-25 19:01:00,2009238,2012000,2008001,2011999,48.877148,98313800
"66",2017-12-25 19:02:00,2011889,2015140,2010368,2014700,45.847446,92267190
"67",2017-12-25 19:03:00,2014000,2014699,2012000,2013942,32.93406,66307108
"68",2017-12-25 19:04:00,2013665,2014541,2012004,2013498,23.573542,47453030
"69",2017-12-25 19:05:00,2013000,2015000,2012623,2012896,18.23149,36722616
"70",2017-12-25 19:06:00,2013001,2013141,2009000,2009000,19.219898,38650116
"71",2017-12-25 19:07:00,2009000,2009711,2007000,2008520,29.497839,59224760
"72",2017-12-25 19:08:00,2008502,2013000,2007777,2009259,19.695154,39579200
"73",2017-12-25 19:09:00,2009546,2012700,2009546,2011999,15.163832,30500822
"74",2017-12-25 19:10:00,2011675,2011999,2008000,2008500,19.648586,39482920
"75",2017-12-25 19:11:00,2008133,2013999,2008000,2012001,35.142147,70676290
"76",2017-12-25 19:12:00,2012001,2012911,2011002,2011275,11.413363,22960144
"77",2017-12-25 19:13:00,2011275,2013320,2011004,2012111,13.708488,27584284
"78",2017-12-25 19:14:00,2012164,2015000,2011800,2014498,16.820745,33872824
"79",2017-12-25 19:15:00,2014003,2016550,2014000,2015904,42.892513,86430140
"80",2017-12-25 19:16:00,2016196,2016733,2011275,2013366,28.945253,58316988
"81",2017-12-25 19:17:00,2014274,2019601,2013501,2018998,47.80517,96412260
"82",2017-12-25 19:18:00,2019499,2020000,2014019,2017004,54.27113,109560430
"83",2017-12-25 19:19:00,2018019,2018895,2014020,2016000,28.904213,58289150
"84",2017-12-25 19:20:00,2016000,2017500,2014000,2015278,33.0474,66617068
"85",2017-12-25 19:21:00,2015849,2018000,2015256,2018000,28.402906,57277428
"86",2017-12-25 19:22:00,2017842,2023054,2017842,2023000,81.61231,164845460
"87",2017-12-25 19:23:00,2023333,2023333,2019000,2020659,37.917465,76646300
"88",2017-12-25 19:24:00,2020600,2022000,2018199,2018599,28.967594,58519036
"89",2017-12-25 19:25:00,2018599,2018938,2014801,2015701,23.023113,46435644
"90",2017-12-25 19:26:00,2015350,2016453,2011870,2011870,48.796967,98235176
"91",2017-12-25 19:27:00,2012200,2013299,2008601,2012000,49.89348,100313820
"92",2017-12-25 19:28:00,2011108,2020101,2010833,2016051,73.61812,148503070
"93",2017-12-25 19:29:00,2015050,2018232,2015011,2016000,24.60956,49611984
"94",2017-12-25 19:30:00,2016100,2019000,2015534,2017575,37.919147,76493064
"95",2017-12-25 19:31:00,2017984,2019300,2014000,2014002,23.785473,47967484
"96",2017-12-25 19:32:00,2014032,2017000,2014000,2014168,37.850986,76282590
"97",2017-12-25 19:33:00,2014486,2017500,2014002,2016057,18.042738,36359176
"98",2017-12-25 19:34:00,2016087,2018741,2015243,2015310,34.712494,70020040
"99",2017-12-25 19:35:00,2015000,2015437,2011000,2014680,25.501942,51360588
"100",2017-12-25 19:36:00,2014410,2019226,2013693,2017822,17.074001,34444252
"101",2017-12-25 19:37:00,2017888,2019100,2012665,2013705,27.169067,54736856
"102",2017-12-25 19:38:00,2013686,2015466,2010500,2010500,28.114365,56598596
"103",2017-12-25 19:39:00,2011000,2017000,2010111,2011000,45.87016,92301620
"104",2017-12-25 19:40:00,2010101,2014999,2010100,2014999,27.647877,55662136
"105",2017-12-25 19:41:00,2015000,2018800,2015000,2018800,20.55034,41446270
"106",2017-12-25 19:42:00,2017931,2018997,2014000,2015000,20.164288,40668540
"107",2017-12-25 19:43:00,2015000,2018100,2014002,2016570,17.853971,35998224
"108",2017-12-25 19:44:00,2018000,2019898,2015100,2016103,30.94798,62465696
"109",2017-12-25 19:45:00,2019988,2020000,2017000,2017019,12.952406,26147518
"110",2017-12-25 19:46:00,2017818,2018000,2016076,2016867,12.506885,25231476
"111",2017-12-25 19:47:00,2016263,2016858,2015001,2015001,7.7898726,15703377
"112",2017-12-25 19:48:00,2014979,2016110,2014979,2016110,12.078475,24345842
"113",2017-12-25 19:49:00,2016110,2017000,2015178,2015526,10.932441,22039230
"114",2017-12-25 19:50:00,2016108,2016120,2008765,2011499,47.40174,95425930
"115",2017-12-25 19:51:00,2011889,2011889,2007172,2008494,54.596645,109693384
"116",2017-12-25 19:52:00,2008493,2009800,2007385,2008266,22.886328,45972350
"117",2017-12-25 19:53:00,2008646,2008833,2006000,2006000,128.12886,257120060
"118",2017-12-25 19:54:00,2e+06,2009347,2e+06,2004250,85.37693,171204290
"119",2017-12-25 19:55:00,2004250,2014343,2004250,2010360,126.27294,253748690
"120",2017-12-25 19:56:00,2012001,2015000,2010660,2014000,47.163815,94963336
"121",2017-12-25 19:57:00,2014000,2014589,2010958,2011045,34.676216,69808580
"122",2017-12-25 19:58:00,2011937,2012998,2004168,2008549,51.258144,103039940
"123",2017-12-25 19:59:00,2008549,2018446,2008536,2017000,69.53506,139964830
"124",2017-12-25 20:00:00,2017000,2018445,2013505,2014613,75.488304,152204130
"125",2017-12-25 20:01:00,2015310,2017777,2014000,2015202,75.302864,151769780
"126",2017-12-25 20:02:00,2015201,2020000,2014784,2019001,66.6433,134511100
"127",2017-12-25 20:03:00,2019002,2019998,2015100,2016905,31.714302,64004330
"128",2017-12-25 20:04:00,2016903,2017910,2013554,2015809,28.86613,58182350
"129",2017-12-25 20:05:00,2016101,2016600,2012091,2012765,26.70081,53768700
"130",2017-12-25 20:06:00,2012765,2013140,2012000,2012906,29.536432,59439932
"131",2017-12-25 20:07:00,2012906,2016192,2012906,2014000,16.583715,33406800
"132",2017-12-25 20:08:00,2013631,2015000,2013506,2015000,12.526112,25234058
"133",2017-12-25 20:09:00,2015500,2018777,2015500,2017381,30.265545,61063490
"134",2017-12-25 20:10:00,2017381,2017814,2015990,2016978,12.948838,26118850
"135",2017-12-25 20:11:00,2016978,2019192,2016401,2018000,44.47475,89762020
"136",2017-12-25 20:12:00,2018001,2018001,2016663,2017226,18.559813,37441310
"137",2017-12-25 20:13:00,2016975,2017206,2015550,2016700,31.096373,62700876
"138",2017-12-25 20:14:00,2016661,2016700,2012000,2013200,41.0268,82655780
"139",2017-12-25 20:15:00,2014150,2014998,2012765,2013901,36.820984,74127800
"140",2017-12-25 20:16:00,2013923,2016256,2013305,2016255,17.864471,35994490
"141",2017-12-25 20:17:00,2015926,2016898,2012800,2014997,29.425816,59310830
"142",2017-12-25 20:18:00,2014982,2015025,2013209,2013584,14.398705,28998638
"143",2017-12-25 20:19:00,2013342,2016001,2013001,2014190,13.15266,26496444
"144",2017-12-25 20:20:00,2014441,2015300,2012800,2012800,29.102047,58602196
"145",2017-12-25 20:21:00,2012970,2015000,2011778,2014000,55.47881,111662820
"146",2017-12-25 20:22:00,2013969,2014600,2013071,2013541,9.781478,19698536
"147",2017-12-25 20:23:00,2013605,2017000,2013605,2017000,34.695557,69957384
"148",2017-12-25 20:24:00,2017100,2019800,2014000,2015999,35.347084,71282370
"149",2017-12-25 20:25:00,2015100,2020000,2014000,2016367,68.52805,138243460
"150",2017-12-25 20:26:00,2016367,2022000,2016354,2020002,59.430897,119997690
"151",2017-12-25 20:27:00,2020999,2024750,2018250,2019000,69.663864,140732100
"152",2017-12-25 20:28:00,2019332,2019407,2016992,2017832,29.185087,58898536
"153",2017-12-25 20:29:00,2017831,2021600,2017015,2019011,29.41868,59403370
"154",2017-12-25 20:30:00,2019312,2020885,2018000,2018386,19.962618,40310172
"155",2017-12-25 20:31:00,2019017,2024201,2018349,2023999,71.42263,144371040
"156",2017-12-25 20:32:00,2022350,2028240,2022350,2027010,97.86537,198237460
"157",2017-12-25 20:33:00,2027010,2028500,2025000,2025499,85.829735,173989870
"158",2017-12-25 20:34:00,2025101,2027150,2024100,2025001,42.271164,85609330
"159",2017-12-25 20:35:00,2025500,2028878,2024522,2028878,36.154987,73300690
"160",2017-12-25 20:36:00,2028400,2028878,2026701,2027592,45.68625,92663450
"161",2017-12-25 20:37:00,2028888,2033100,2028589,2033040,172.4963,350232130
"162",2017-12-25 20:38:00,2032479,2034441,2029301,2029398,85.582954,173895000
"163",2017-12-25 20:39:00,2029710,2032932,2029300,2031956,46.275005,94016500
"164",2017-12-25 20:40:00,2031833,2032000,2028810,2030600,41.036583,83333176
"165",2017-12-25 20:41:00,2029250,2030499,2025001,2027743,50.18811,101782550
"166",2017-12-25 20:42:00,2027744,2032934,2025300,2032002,64.41947,130750770
"167",2017-12-25 20:43:00,2032499,2032790,2029145,2029145,26.865524,54550196
